Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,6.0429E-18,4.8664E-18,0.0053279,0,0,0,0.050778,1.0583E-05,3.5103E-21,-7.517E-24,4.0367E-05,7.1369E-22,4.9749E-05,0,0,0,0,0,0,package://bob_final/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://bob_final/meshes/base_link.STL,,conn-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
p_link,0.0038295,0.13837,-5.0397E-08,0,0,0,0.022434,0.00028983,1.0439E-05,9.3637E-12,4.3986E-06,-9.4845E-11,0.00029405,0,0,0,0,0,0,package://bob_final/meshes/p_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://bob_final/meshes/p_link.STL,,rod-1,Coordinate System1,Axis1,j_1,revolute,0,0,0.016,1.5708,0,-1.5708,base_link,-1,0,0,0,0,0,0,,,,,,,,
bob_link,6.1087E-18,-0.049883,-6.8268E-17,0,0,0,0.5231,0.00052258,-1.2381E-22,-2.6718E-38,0.00052359,2.0653E-22,0.00052258,0,0,0,0,0,0,package://bob_final/meshes/bob_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://bob_final/meshes/bob_link.STL,,ball-1,Origin_b_link,Axis_b_link,b_link,continuous,0,0.34016,0,0,-1.5708,0,p_link,0,1,0,,,,,,,,,,,,
